wn,acac,ozone,h2o
731.3710379,1.20691E-05,1.81455E-06,-2.75E-08
731.4915671,1.25399E-05,1.74338E-06,-2.86E-08
731.6120962,1.28204E-05,1.66668E-06,-2.92E-08
731.7326254,1.28446E-05,1.57231E-06,-2.93E-08
731.8531546,1.26255E-05,1.46158E-06,-2.88E-08
731.9736838,1.22373E-05,1.34975E-06,-2.79E-08
732.0942129,1.17951E-05,1.25738E-06,-2.69E-08
732.2147421,1.14175E-05,1.20677E-06,-2.60E-08
732.3352713,1.11901E-05,1.2092E-06,-2.55E-08
732.4558005,1.11535E-05,1.266E-06,-2.54E-08
732.5763296,1.13028E-05,1.37009E-06,-2.58E-08
732.6968588,1.16006E-05,1.50667E-06,-2.64E-08
732.817388,1.19996E-05,1.66204E-06,-2.74E-08
732.9379172,1.24595E-05,1.82339E-06,-2.84E-08
733.0584463,1.29526E-05,1.98696E-06,-2.95E-08
733.1789755,1.34617E-05,2.15186E-06,-3.07E-08
733.2995047,1.39695E-05,2.32142E-06,-3.19E-08
733.4200339,1.44588E-05,2.49939E-06,-3.30E-08
733.540563,1.49053E-05,2.68709E-06,-3.40E-08
733.6610922,1.52882E-05,2.88189E-06,-3.49E-08
733.7816214,1.55994E-05,3.07537E-06,-3.56E-08
733.9021506,1.58503E-05,3.2494E-06,-3.61E-08
734.0226797,1.60705E-05,3.38386E-06,-3.66E-08
734.1432089,1.62942E-05,3.45573E-06,-3.72E-08
734.2637381,1.65523E-05,3.44711E-06,-3.77E-08
734.3842673,1.68512E-05,3.35511E-06,-3.84E-08
734.5047964,1.71699E-05,3.1908E-06,-3.91E-08
734.6253256,1.74632E-05,2.98625E-06,-3.98E-08
734.7458548,1.76745E-05,2.78659E-06,-4.03E-08
734.866384,1.77541E-05,2.63735E-06,-4.05E-08
734.9869131,1.76705E-05,2.5761E-06,-4.03E-08
735.1074423,1.74253E-05,2.61391E-06,-3.97E-08
735.2279715,1.70531E-05,2.73817E-06,-3.89E-08
735.3485007,1.66116E-05,2.91284E-06,-3.79E-08
735.4690298,1.61724E-05,3.09483E-06,-3.69E-08
735.589559,1.58044E-05,3.24299E-06,-3.60E-08
735.7100882,1.5563E-05,3.33299E-06,-3.55E-08
735.8306174,1.54801E-05,3.36307E-06,-3.53E-08
